"","date","close","volume","open","high","low"
"1",2013-12-31,59.879,1391266,59.6,59.915,59.56
"2",2013-12-30,59.55,1329125,59.67,59.8,59.24
"3",2013-12-27,59.51,1266918,59.73,59.99,59.28
"4",2013-12-26,59.58,1026504,59.53,59.99,59.48
"5",2013-12-24,59.53,846684,59.58,59.78,59.22
"6",2013-12-23,59.47,1947938,59.74,59.89,59.12
"7",2013-12-20,59.26,5363175,58.42,59.55,58.22
"8",2013-12-19,58.13,3310530,58.73,58.9845,58.07
"9",2013-12-18,59.04,4975264,57.58,59.07,57.02
"10",2013-12-17,57.67,6351791,58.5,58.88,57.54
"11",2013-12-16,58.5,8785998,60.63,60.88,58.395
"12",2013-12-13,60.89,15834460,58.06,61.09,58
"13",2013-12-12,53.99,6164740,54.44,54.9399,53.9301
"14",2013-12-11,54.64,3990031,55.25,55.595,54.575
"15",2013-12-10,55.32,3787264,55.38,55.39,54.65
"16",2013-12-09,55.44,3397736,55.94,56.05,55.24
"17",2013-12-06,55.6,3334270,55.99,56.1,55.5502
"18",2013-12-05,55.04,7792707,55.63,55.75,54.47
"19",2013-12-04,56.05,3663514,56.19,56.43,55.42
"20",2013-12-03,56.4,4129531,56.63,57.06,56.39
"21",2013-12-02,56.76,1950754,56.74,57.03,56.61
"22",2013-11-29,56.78,965238,57.12,57.15,56.6225
"23",2013-11-27,56.91,2134011,56.85,57.03,56.68
"24",2013-11-26,56.7,2840970,56.87,56.89,56.2
"25",2013-11-25,56.95,2986379,56.62,57.18,56.5
"26",2013-11-22,56.41,2890754,56.26,56.5,55.89
"27",2013-11-21,56.23,2461187,56.28,56.59,55.86
"28",2013-11-20,55.94,2931259,55.98,56.32,55.8
"29",2013-11-19,55.77,3404510,56.73,56.73,55.65
"30",2013-11-18,56.6,3173558,57.45,57.49,56.4
"31",2013-11-15,57.35,2909903,57.54,57.59,56.78
"32",2013-11-14,57.17,4571342,57.56,57.99,56.91
"33",2013-11-13,57.55,5168555,55.59,57.59,55.59
"34",2013-11-12,56.24,2929235,55.84,56.34,55.6
"35",2013-11-11,56.18,4221793,54.85,56.18,54.49
"36",2013-11-08,54.84,5940947,53.42,54.93,53.33
"37",2013-11-07,53.168,5526586,55.05,55.17,53.1
"38",2013-11-06,54.88,3285655,54.9,55.105,54.54
"39",2013-11-05,54.79,3616606,55.24,55.28,54.67
"40",2013-11-04,55.39,3433601,55.01,55.42,54.66
"41",2013-11-01,54.61,2719983,54.61,54.675,54.14
"42",2013-10-31,54.22,3508976,54.01,54.56,53.9
"43",2013-10-30,54.1,3482386,54.87,55.07,53.69
"44",2013-10-29,54.86,5148291,54,55.12,53.91
"45",2013-10-28,53.93,3490308,53.91,54.37,53.59
"46",2013-10-25,53.81,6186140,54.07,54.2,53.46
"47",2013-10-24,54.21,5717182,53.06,54.58,53.05
"48",2013-10-23,53.06,4386787,52.75,53.45,52.155
"49",2013-10-22,53.17,4375733,53.47,53.57,52.99
"50",2013-10-21,53.08,3739740,52.73,53.27,52.71
"51",2013-10-18,52.63,4210148,52.15,52.78,52
"52",2013-10-17,52.065,3776599,51.87,52.31,51.7
